Token,Item Name,Variation Name,SKU,Description,Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Weight (kg),Shipping Enabled,Self-Serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Current Quantity Arrow Wood Games Inc.,New Quantity Arrow Wood Games Inc.,Stock Alert Enabled Arrow Wood Games Inc.,Stock Alert Count Arrow Wood Games Inc.,Tax - PST (7%)
YRKS3K65AZRYUOUPWO6DNGGH,(Board Book) By Balloon to the Sahara,,4277989,,Books,,,,9781937133900,unavailable,,,,,,16.99,,N,,,,,,8.50,Outset Media,,0,,,,N
VSSSIGYNWKDXUA5MYVXXWOQY,(Board Book) Journey Under The Sea,,V011038,,Books,,,,9781937133818,unavailable,,,,,,16.99,,N,,,,,,8.50,Outset Media,,0,,,,N
OI5N66Z4QRSLYG7JJ546A26E,(Board Book) Lost on the Amazon,,728037J,,Books,,,,9781937133887,unavailable,,,,,,16.99,,N,,,,,,8.50,Outset Media,,0,,,,N
XAIJ77MHVVKXXDX6QRQVAWMV,(Board Book) Space And Beyond,,7107481,,Books,,,,9781937133825,unavailable,,,,,,16.99,,N,,,,,,8.50,Outset Media,,0,,,,N
4HKTSR54E5RSCDXIHHPMO6T2,(Board Book) The Abominable Snowman,,6211890,,Books,,,,9781937133801,unavailable,,,,,,16.99,,N,,,,,,8.50,Outset Media,,0,,,,N
4HINVO5U6MJPRLDSNLIBL4QS,(Board Book) The Lost Jewels of Nabooti,,S929624,,Books,,,,9781937133894,unavailable,,,,,,16.99,,N,,,,,,8.50,Outset Media,,0,,,,N
E3SHMTCFLW32JA2VE7ACBLJJ,(Classic) Antarctica,,C093154,,Books,,,,9781954232099,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,,2,,,,N
7K66F2Y62DINP6VUMGV4AZWU,(Classic) Behind the Wheel,,4067014,,Books,,,,9781933390352,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,Outset Media,1,,,,N
44AFMK3TPOAOJCPIUAUEVFTC,(Classic) Beyond Escape,,1969587,,Books,,,,9781933390154,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,Outset Media,2,,,,N
3F3WAUZDLFLA4PYNW7C64EBT,(Classic) Blood on the Handle,,9293372,,Books,,,,9781933390338,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,Outset Media,2,,,,N
QS4B4HQW7F7KSA7YZSDSAJIL,(Classic) Brooklyn Mermaid,,517819Z,,Books,,,,9781954232082,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,,2,,,,N
RL2K4RJJX76HUZX3W43E5T4Z,(Classic) By Balloon to the Sahara,,851527S,,Books,,,,9781937133481,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,,2,,,,N
SH2G3D3JGPN5EN2IKTTG7KEI,(Classic) Cup of Death,,F317409,,Books,,,,9781933390703,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,Outset Media,2,,,,N
